title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
Veep,"['Political satire', 'Cringe comedy [1]']",Armando Iannucci,,,,"['Julia Louis-Dreyfus', 'Anna Chlumsky', 'Tony Hale', 'Reid Scott', 'Timothy Simons', 'Matt Walsh', 'Sufe Bradshaw', 'Kevin Dunn', 'Gary Cole', 'Sam Richardson', 'Sarah Sutherland', 'Clea DuVall']",,,United States,English,7,65 ( list of episodes ),"['Armando Iannucci', 'Christopher Godsick', 'Frank Rich', 'Chris Addison', 'Simon Blackwell', 'Tony Roche', 'Julia Louis-Dreyfus', 'Stephanie Laing', 'David Mandel']",,"['Baltimore, Maryland (seasons 1–4)', 'Los Angeles, California (seasons 5–7)']",,,Single camera,26–30 minutes,"['HBO Entertainment', 'Dundee Productions (Seasons 1–4)']","['$27+ million ( s. 5) [2] [a]', '$31+ million ( s. 6) [2] [a]', '$36+ million ( s. 7) [2] [a]']",HBO,1080i ( HDTV ),,"April 22, 2012 ( 2012-04-22 ) – May 12, 2019 ( 2019-05-12 )",,"['Rupert Gregson-Williams', 'Christopher Willis']",,,,,,,,,,,,,,,,,,,,,,
Family Tree,Comedy Documentary-Style,Christopher Guest Jim Piddock,,Christopher Guest Jim Piddock,Christopher Guest,Chris O'Dowd,,,United Kingdom United States,English,,8 ( list of episodes ),"['Christopher Guest', 'Jim Piddock', 'Karen Murphy', 'Deborah Oppenheimer', 'Mario Stylianides']",,,,,Single,30 minutes,"['HBO', 'Crystal Palace Entertainment', 'Lucky Giant', 'NBCU International TV', 'BBC']",,"['HBO', 'BBC Two']",,,"May 12 ( 2013-05-12 ) – July 8, 2013 ( 2013-07-08 )",,,,,,,,,,,,1,,,,,,,,,,,,
Getting On,Dark comedy Medical comedy,"['Mark V. Olsen', 'Will Scheffer']",Getting On (BBC Four series) by Jo Brand Joanna Scanlan Vicki Pepperdine,Mark V. Olsen Will Scheffer,Miguel Arteta Howard Deutch Becky Martin,"['Laurie Metcalf', 'Alex Borstein', 'Niecy Nash', 'Mel Rodriguez']",,,United States,English,3,18 ( list of episodes ),"['Geoff Atkinson', 'Jane Tranter', 'Jo Brand', 'Joanna Scanlan', 'Julie Gardner', 'Mark V. Olsen', 'Vicki Pepperdine', 'Will Scheffer']",,,,,Single,30 minutes,Anima Sola Productions BBC Worldwide Productions HBO Entertainment,,HBO,1080i ( HDTV ),,"November 24, 2013 ( 2013-11-24 ) – December 13, 2015 ( 2015-12-13 )",,,,,,,,,Chrisann Verges,,,,,,,,,,,,,,,
Hello Ladies,,"['Stephen Merchant', 'Lee Eisenberg', 'Gene Stupnitsky']",,,,"['Stephen Merchant', 'Christine Woods', 'Nate Torrence', 'Kevin Weisman', 'Kyle Mooney']",,Vik Sharma,United States,English,1,9 ( list of episodes ),"['Stephen Merchant', 'Lee Eisenberg', 'Gene Stupnitsky']",,,,,Single-camera,30 minutes,Four Eyes Entertainment Quantity Entertainment ABC Studios HBO Entertainment,,HBO,,,"September 29, 2013 ( 2013-09-29 ) – November 22, 2014 ( 2014-11-22 )",,,,""" Alone Too Long "" by Hall & Oates",,,,,,,,,,,,,,,,,,,,
Looking,Comedy drama,Michael Lannan,Lorimer by Michael Lannan,,,"['Jonathan Groff', 'Frankie J. Alvarez', 'Murray Bartlett', 'Lauren Weedman', 'Russell Tovey', 'Raúl Castillo']",,,United States,English,2,18 plus special ( list of episodes ),"['Michael Lannan', 'David Marshall Grant', 'Sarah Condon', 'Andrew Haigh']",,,"['Reed Morano (season 1)', 'Xavier Pérez Grobet (season 2)']","['Jonathan Alberts', 'Andrew Dickler']",Single,30 minutes 86 minutes (2016 special),,,HBO,HDTV 1080i,Surround,"January 19, 2014 ( 2014-01-19 ) – July 23, 2016 ( 2016-07-23 )",,,,,,,Fair Harbor Productions,,Kat Landsberg,San Francisco,,,,,,,,,,,,,,
Silicon Valley,Comedy,"['Mike Judge', 'John Altschuler', 'Dave Krinsky']",,,,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos']",,Jeff Cardoni,United States,English,6,53 ( list of episodes ),"['Mike Judge', 'Alec Berg', 'John Altschuler', 'Dave Krinsky', 'Michael Rotenberg', 'Tom Lassally', 'Clay Tarver', 'Jim Kleverweis', 'Jamie Babbit', 'Lew Morton']","['Jim Kleverweis', 'Carrie Kemper', 'Adam Countee', 'Alonzo Nevarez', 'Amy Solomon']",,"['Jim Denault', 'Tim Suhrstedt']",Tim Roche Brian Merken Al Levine,Single-camera,28–47 minutes,"['Judgemental Films', 'Altschuler Krinsky Works', 'Alec Berg Inc.', '3 Arts Entertainment', 'HBO Entertainment']",,HBO,HDTV ( 1080i ),,"April 6, 2014 ( 2014-04-06 ) – December 8, 2019 ( 2019-12-08 )",,,,"""Stretch Your Face"" by Tobacco",,,,,,,,,,,,,,,,,,,,
Ballers,Comedy drama Sports,Stephen Levinson,,,,"['Dwayne Johnson', 'Rob Corddry', 'John David Washington', 'Omar Miller', 'Donovan W. Carter', 'Troy Garity', 'London Brown', 'Jazmyn Simon', 'Arielle Kebbel']",,,United States,English,5,47 ( list of episodes ),"['Dwayne Johnson', 'Dany Garcia', 'Mark Wahlberg', 'Peter Berg', 'Evan Reilly', 'Stephen Levinson', 'Rob Weiss', 'Denis Biggs', 'Julian Farino']","['Bret Slater', 'Peter Sussman', 'David Levinson', 'Lori Jo Nemhauser', 'Karyn McKarthy', 'Neena Beber', 'Janace Tashjian']","['Los Angeles', 'New York', 'Miami', 'San Francisco (Season 3)']","['Tobias Schliessler', 'Jamie Reynoso', 'Rodney Taylor']","['Colby Parker Jr.', 'Jeffrey M. Werner']",Single,27 minutes,"['Closest to the Hole Productions', 'Leverage Entertainment', 'Seven Bucks Entertainment', 'Film 44', 'HBO Entertainment']",,HBO,,,"June 21, 2015 ( 2015-06-21 ) – October 13, 2019 ( 2019-10-13 )",,,,""" Right Above It "" by Lil Wayne featuring Drake",,,,,,,,,,,,,,,,,,,,
The Brink,Political satire,"['Roberto Benabib', 'Kim Benabib']",,,,"['Jack Black', 'Tim Robbins', 'Pablo Schreiber', 'Aasif Mandvi', 'Maribeth Monroe', 'Eric Ladin', 'Geoff Pierson', 'Esai Morales']",,David Robbins,United States,English,1,10 ( list of episodes ),"['Roberto Benabib', 'Jerry Weintraub', 'Jay Roach']","['Dave Holstein', 'Jack Black', 'Tim Robbins']",,,,Single-camera,30 minutes,"['Jerry Weintraub Productions', 'Everyman Pictures', 'Little City Iron Works']",,HBO,1080i ( 16:9 HDTV ),,"June 21 ( 2015-06-21 ) – August 23, 2015 ( 2015-08-23 )",,,,,,,,,,,,,,,,,,,,,,,,
Togetherness,Comedy drama,"['Jay Duplass', 'Mark Duplass', 'Steve Zissis']",,"['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']","['Mark Duplass', 'Melanie Lynskey', 'Amanda Peet', 'Steve Zissis', 'Abby Ryder Fortson']",,Michael Andrews,United States,English,2,16 ( list of episodes ),"['Jay Duplass', 'Mark Duplass', 'Stephanie Langhoff']",,,,,Single camera,25–29 minutes,"['Duplass Brothers Productions', 'HBO Entertainment']",,HBO,,,"January 11, 2015 ( 2015-01-11 ) – April 10, 2016 ( 2016-04-10 )",,,,,,,,,Steve Zissis,Los Angeles,,,,,,,,,,,,,,
Divorce,Comedy drama,Sharon Horgan,,,,"['Sarah Jessica Parker', 'Thomas Haden Church', 'Molly Shannon', 'Talia Balsam', 'Tracy Letts', 'Sterling Jerins', 'Charlie Kilgore', 'Becki Newton']",,Keegan DeWitt,United States,English,3,24 ( list of episodes ),"['Sharon Horgan', 'Paul Simms', 'Aaron Kaplan', 'Sarah Jessica Parker', 'Alison Benson', 'Jenny Bicks', 'Liz Tuccillo']",,,,,Single-camera,30 minutes,"['HBO Entertainment', 'Pretty Matches Productions', 'Merman Films', 'Kapital Entertainment', '343 Incorporated (season 1)', 'Perkins Street Productions (season 2)', 'Tuccillo (season 3)']",,HBO,1080i ( HDTV ),,"October 9, 2016 ( 2016-10-09 ) – August 5, 2019 ( 2019-08-05 )",,,,,,,,,,,,,,,,,,,,,,,,
High Maintenance,"['Comedy drama', 'Anthology', 'Slice of life']","['Katja Blichfeld', 'Ben Sinclair']",,,,Ben Sinclair,,,United States,English,6 ( Vimeo ) 4 ( HBO ),19 (Vimeo) 34 (HBO) ( list of episodes ),,,,,,,,,,Vimeo (2012–15) HBO (2016–20),,,"November 9, 2012 ( 2012-11-09 ) – April 3, 2020 ( 2020-04-03 )",,,,,,,Janky Clown Productions,,,,,,,,,,,,,,,,,
Insecure,Comedy drama,"['Issa Rae', 'Larry Wilmore']",Awkward Black Girl by Issa Rae,,,"['Issa Rae', 'Yvonne Orji', 'Jay Ellis', 'Lisa Joyce', 'Natasha Rothwell', 'Amanda Seales', ""Y'lan Noel"", 'Alexander Hodge', 'Kendrick Sampson', 'Leonard Robinson', 'Courtney Taylor']",,Raphael Saadiq,United States,English,5,44,"['Issa Rae', 'Prentice Penny', 'Michael Rotenberg', 'Melina Matsoukas', 'Dave Becky', 'Jonathan Berry']",,"Los Angeles, California : primarily View Park–Windsor Hills and Leimert Park Inglewood Malibu Santa Monica [1]",Ava Berkofsky,,Single-camera,27–41 minutes,Issa Rae Productions (2016–2020) Hoorae Media (2020–2021) Penny for Your Thoughts Entertainment 3 Arts Entertainment HBO Entertainment,,HBO,,,"October 9, 2016 ( 2016-10-09 ) – December 26, 2021 ( 2021-12-26 )",,,,,,,,,,,,,,,,,,,,,,,,
Vice Principals,Comedy,"['Danny R. McBride', 'Jody Hill']",,,,"['Danny McBride', 'Walton Goggins', 'Kimberly Hébert Gregory', 'Dale Dickey', 'Georgia King', 'Sheaun McKinney', 'Busy Philipps', 'Shea Whigham']",,Joseph Stephens,United States,English,2,18,"['Danny McBride', 'Jody Hill', 'David Gordon Green', 'Jonathan Watson', 'Stephanie Laing']","['Brandon James', 'Adam Countee', 'Hayes Davenport', 'Ben Dougan', 'Tim Saccardo']",,,,Single-camera,,Rough House HBO Entertainment,,HBO,HDTV 1080i,,"July 17, 2016 ( 2016-07-17 ) – November 12, 2017 ( 2017-11-12 )",,,,,,,,,,,,,,,,,,,,,,,,
Crashing,Comedy drama,Pete Holmes,,,,Pete Holmes,,Lyle Workman,United States,English,3,24 ( list of episodes ),Pete Holmes Judd Apatow Dave Rath Josh Church Igor Srubshchik Judah Miller,,,,,Single-camera,27–33 minutes,Joy Quota Apatow Productions HBO Originals,,HBO,1080i ( 16:9 HDTV ),,"February 19, 2017 ( 2017-02-19 ) – March 10, 2019 ( 2019-03-10 )",,,,,,,,,,,,,,,,,,,,,,,,
Barry,"['Dark comedy [1]', 'Comedy drama [2]', 'Crime [3]', 'Psychological drama [4]', 'Tragicomedy [5] [6] [7]', 'Thriller']","['Alec Berg', 'Bill Hader']",,,,"['Bill Hader', 'Stephen Root', 'Sarah Goldberg', 'Glenn Fleshler', 'Anthony Carrigan', 'Henry Winkler', 'Sarah Burns', 'Robert Wisdom']",,David Wingo,United States,English,4,32 ( list of episodes ),"['Alec Berg', 'Bill Hader', 'Aida Rodgers', 'Liz Sarnoff']","['Emily Heller', 'Sarah Solemani', 'Ben Smith', 'Kris Baucom', 'Megan Murphy', 'Amy Solomon', 'Julie Camino', 'Jason Kim', 'Duffy Boudreau', 'Artūrs Rūsis', 'Davin Michaels']",,"['Brandon Trost', 'Paula Huidobro', 'Carl Herse', 'Darran Tiernan']","['Jeff Buchanan', 'Kyle Reiter', 'Franky Guttman', 'Ali Greer']",Single-camera,26–34 minutes,"['HBO Entertainment', 'Alec Berg Inc.', 'Hanarply']",,HBO,"['1080i ( HDTV )', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['5.1 surround', 'Dolby Atmos [a]']","March 25, 2018 ( 2018-03-25 ) – May 28, 2023 ( 2023-05-28 )",,,,"""Change for the World"" by Charles Bradley (seasons 1–3)",,,,,,,,,,,,,,,,,,,,
Camping,Comedy,"['Lena Dunham', 'Jenni Konner']",Camping by Julia Davis,,,"['Jennifer Garner', 'David Tennant', 'Juliette Lewis', 'Ione Skye', 'Chris Sullivan', 'Cheyenne Haynes', 'Arturo Del Puerto', 'Janicza Bravo', 'Brett Gelman']",,Ben Lee,United States,English,1,8,"['Jenni Konner', 'Lena Dunham', 'Ilene S. Landress', 'John Riggi', 'Julia Davis', 'Christine Langan', 'Tom Lassally']","['Travon Free', 'Regina Heyman']",,Quyen Tran,"['Paul Zucker', 'Kabir Akhtar', 'Christal A. Khatib']",Single-camera,28–31 minutes,"['Hush Ho', 'Baby Cow Productions', 'I Am Jenni Konner Productions', 'Good Thing Going', 'HBO Enterprises']",,HBO,1080i ( HDTV ),5.1 surround,"October 14 ( 2018-10-14 ) – December 2, 2018 ( 2018-12-02 )",,,,,,,,,,,,,,,,,,,,,,,,
Sally4Ever,,Julia Davis,,Julia Davis,Julia Davis,"['Julia Davis', 'Catherine Shepherd', 'Alex Macqueen', 'Julian Barratt', 'Felicity Montagu', 'Steve Oram', 'Jane Stanness']",,,United Kingdom,English,,7,"Jesse Armstrong (uncredited in the UK broadcast, but credited in the US broadcast) Sam Bain (uncredited in the UK broadcast, but credited in the US broadcast) Phil Clarke Julia Davis",,,,,Single-camera,30 minutes,"['Various Artists Limited', 'Hush Ho']",,"['Sky Atlantic', 'HBO']",16:9 1080i,Stereo,25 October ( 2018-10-25 ) – 6 December 2018 ( 2018-12-06 ),,,,,,,,,Phil Clarke,,,1,,,,,,,,,,,,
Los Espookys,,"['Julio Torres', 'Ana Fabrega', 'Fred Armisen']",,,,"['Bernardo Velasco', 'Cassandra Ciangherotti', 'Ana Fabrega', 'Julio Torres', 'Fred Armisen']",,,United States,,2,12 ( list of episodes ),"['Fred Armisen', 'Lorne Michaels', 'Andrew Singer']",,,,,,,"['Broadway Video', 'Más Mejor', 'Antigravico', 'Fabula', 'HBO Entertainment']",,HBO,,,"June 14, 2019 ( 2019-06-14 ) – October 21, 2022 ( 2022-10-21 )",,,,,,,,,,,Spanish English,,,,,,,,,,,,,
Avenue 5,"['Comedy', 'Science fiction', 'Black comedy']",Armando Iannucci,,,,"['Hugh Laurie', 'Josh Gad', 'Zach Woods', 'Rebecca Front', 'Suzy Nakamura', 'Lenora Crichlow', 'Nikki Amuka-Bird', 'Ethan Phillips']",,,United States United Kingdom,English,2,17 ( list of episodes ),"['Kevin Loader', 'Will Smith', 'Tony Roche', 'Simon Blackwell', 'Armando Iannucci']",,,Eben Bolter,,,28–29 minutes,,,"['HBO (US)', 'Sky One (UK)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","January 19, 2020 ( 2020-01-19 ) – November 28, 2022 ( 2022-11-28 )",Gary Dollner,,Adem Ilhan,,,,Dundee Productions,,Steve Clark-Hall,,,,,,,,,,,,,,,
Betty,Teen comedy [1],Crystal Moselle,"['Crystal Moselle', 'That One Day', 'by Crystal Moselle']",,Crystal Moselle,"['Dede Lovelace', 'Moonbear', 'Nina Moran', 'Ajani Russell', 'Rachelle Vinberg']",,,United States,English,2,12,"['Crystal Moselle', 'Lesley Arfin (season 1)', 'Igor Srubshchik', 'Jason Weinberg', 'Alliah Mourad', 'Annie Schmidt']","['Britta Lundin (season 1)', 'Lizzie Nastro (season 1)', 'Izabella Tzenkova (season 1)', 'Naima Ramos-Chapman', 'Ben Snyder']",,Jackson Hunt,"['Nico Leunen', 'Thomas Pooters']",Single-camera,29–31 minutes,"['A Dreamy Crystal Moselle Sequence...', 'Arfin Material (season 1)', 'Untitled Entertainment']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","May 1, 2020 ( 2020-05-01 ) – July 16, 2021 ( 2021-07-16 )",,,Aska Matsumiya,,,,,,,,,,,,,,,,,,,,,
Run,['Comedy thriller'],Vicky Jones,,,,"['Merritt Wever', 'Domhnall Gleeson']",,,United States,English,1,7,"['Vicky Jones', 'Jenny Robins', 'Kate Dennis', 'Phoebe Waller-Bridge', 'Emily Leo', 'Oliver Roskill', 'Lucan Toh (pilot only)']","['Kevin Lafferty', 'D.J. Carson']",,"['Matthew Clark', 'Kristin Fieldhouse']","['Ant Boys', 'Katie Weiland']",Single-camera,26–33 minutes,"['DryWrite', 'Wild Swim', 'Entertainment One']",,HBO,,,"April 12 ( 2020-04-12 ) – May 24, 2020 ( 2020-05-24 )",,,Dickon Hinchliffe,,,,,,,,,,,,,,,,,,,,,
All the Rivers Run,,,,Peter Yeldham Colin Free Vince Moran Gwenda Marsh,George Miller Pino Amenta,John Waters Sigrid Thornton,,,Australia,English,,4 × 2 hours,,,,,,,,,$3 million [1] [2],Australia: Seven Network United States HBO,,,4 October 1983 ( 1983-10-04 ),,,,,,,HBO Premiere Films,,Alan Hardy,,,,,,,,,,,,,,,
Tanner '88,,Garry Trudeau,,,Robert Altman,Michael Murphy Pamela Reed Cynthia Nixon Kevin J. O'Connor Daniel Jenkins Jim Fyfe Matt Malloy Ilana Levine Veronica Cartwright,,,United States,,,11 ( list of episodes ),Robert Altman Garry Trudeau,,,,,Multiple camera,"1-hour premiere, all others approx. 30 minutes",,,HBO,Color,Mono,"February 15 ( 1988-02-15 ) – August 22, 1988 ( 1988-08-22 )",,,,,,,,,,,,,,,,,,,,,,,,
Laurel Avenue,,,,Paul Aaron & Michael Henry Brown (story) Michael Henry Brown (teleplay),Carl Franklin,Mary Alice Jay Brooks Juanita Jennings Scott Lawrence Dan Martin Monté Russell Ondrea Shalbetter Rhonda Stubbins White Vonte Sweet Gay Thomas Malinda Williams Mel Winkler,,,United States,English,,,,Paul Aaron Charles S. Dutton (executive producers),,,,,180 minutes,HBO Independent Productions Elsboy Entertainment,,HBO,,,"July 10 ( 1993-07-10 ) – July 11, 1993 ( 1993-07-11 )",,,,,,,,,,,,,,,,,,,,,,,,
From the Earth to the Moon,Docudrama,,A Man on the Moon by Andrew Chaikin,,,,,,United States,English,,12,,Brian Grazer Ron Howard Michael Bostick,,,,,60 minutes,Imagine Television HBO Original Programming,,HBO,,,"April 5 ( 1998-04-05 ) – May 10, 1998 ( 1998-05-10 )",,Michael Kamen Mark Mancina Mark Isham Mason Daring James Newton Howard Brad Fiedel Jeff Beal Marc Shaiman,,,Michael Kamen,,,,,,,,,,,Tom Hanks,,,,,,,,
The Corner,Drama,,The Corner: A Year in the Life of an Inner-City Neighborhood by David Simon Ed Burns,David Simon David Mills,Charles S. Dutton,T. K. Carter Khandi Alexander Sean Nelson,,,United States,English,,6,,Robert F. Colesberry David Mills David Simon Nina Kostroff Noble,,Ivan Strasburg,,,59–73 minutes,Blown Deadline Productions HBO Films Knee Deep Productions,,HBO,,,"April 16 ( 2000-04-16 ) – May 21, 2000 ( 2000-05-21 )",,,,,Corey Harris,,,,,"Baltimore, Maryland",,,,,,,,,,,,,,
Band of Brothers,War drama,"['Tom Hanks', 'Steven Spielberg']",Band of Brothers by Stephen E. Ambrose,"['Erik Jendresen', 'Tom Hanks', 'John Orloff', 'E. Max Frye', 'Graham Yost', 'Bruce C. McKenna', 'Erik Bork']","['Phil Alden Robinson', 'Richard Loncraine', 'Mikael Salomon', 'David Nutter', 'Tom Hanks', 'David Leland', 'David Frankel', 'Tony To']","['Kirk Acevedo', 'Eion Bailey', 'Michael Cudlitz', 'Dale Dye', 'Rick Gomez', 'Scott Grimes', 'Frank John Hughes', 'Damian Lewis', 'Ron Livingston', 'James Madio', 'Neal McDonough', 'Rene L. Moreno', 'David Schwimmer', 'Richard Speight Jr.', 'Donnie Wahlberg', 'Matthew Settle', 'Douglas Spain', 'Rick Warden', 'Marc Warren', 'Shane Taylor', 'Dexter Fletcher', 'Colin Hanks', 'Ross McCall']",,,['United States [1]'],['English'],,10 ( list of episodes ),"['Steven Spielberg', 'Tom Hanks']","['Gary Goetzman', 'Tony To', 'Erik Bork', 'Erik Jendresen', 'Stephen E. Ambrose', 'Mary Richards']",,"['Remi Adefarasin', 'Joel J. Ransom']","['Billy Fox', 'Oral Norrie Ottey', 'Frances Parker', 'John Richards']",,49–70 minutes,"['Playtone', 'DreamWorks Television', 'HBO Entertainment', 'British Broadcasting Corporation']",$125 million,HBO,,,"September 9 ( 2001-09-09 ) – November 4, 2001 ( 2001-11-04 )",,,,,Michael Kamen,,,,,,,,,,,,,,,,,,,
Angels in America,,,Angels in America by Tony Kushner,Tony Kushner,Mike Nichols,"['Al Pacino', 'Meryl Streep', 'Patrick Wilson', 'Mary-Louise Parker', 'Emma Thompson', 'Justin Kirk', 'Jeffrey Wright', 'Ben Shenkman']",,,United States,English,,6,,,,Stephen Goldblatt,"['John Bloom', 'Antonia Van Drimmelen']",,352 minutes,"['Avenue Pictures', 'HBO Films']",$60 million,HBO,,,"December 7 ( 2003-12-07 ) – December 14, 2003 ( 2003-12-14 )",,,,,Thomas Newman,,,,Celia D. Costas,,,,,,,,,,,,,,,
Elizabeth I,,,,Nigel Williams,Tom Hooper,Helen Mirren Jeremy Irons Patrick Malahide Toby Jones Hugh Dancy Barbara Flynn Ewen Bremner Ian McDiarmid,,,United Kingdom United States,English,,2,,,,Larry Smith,Beverley Mills Melanie Oliver,,223 minutes,HBO Films Channel 4 Television Corporation Company Pictures,£5.5 million [1],Channel 4 (UK) HBO (US),16:9 576i,Stereo,29 September ( 2005-09-29 ) – 6 October 2005 ( 2005-10-06 ),,,,,Rob Lane,,,,Barney Reisz,,,1,,,,,,,,,,,,
Empire Falls,Drama,,Empire Falls by Richard Russo,Richard Russo,Fred Schepisi,"['Ed Harris', 'Philip Seymour Hoffman', 'Helen Hunt', 'Paul Newman', 'Robin Wright Penn', 'Aidan Quinn', 'Joanne Woodward']",Larry Pine,,United States,English,,,"['Paul Newman', 'Scott Steindorff', 'Fred Schepisi', 'Marc Platt']",,,Ian Baker,,,195 minutes (8 chapters),"['Aspetuck Productions', 'Stone Village Pictures', 'HBO Films']",,HBO,,,"May 28, 2005 ( 2005-05-28 )",Kate Williams,,Paul Grabowsky,,,,,,William Teitler,,,,,,,,,,,,,,,
Tsunami: The Aftermath,,,2004 Indian Ocean earthquake and tsunami,Abi Morgan,Bharat Nalluri,Tim Roth Chiwetel Ejiofor Sophie Okonedo Hugh Bonneville Samrit Machielsen Toni Collette,,,United States United Kingdom,English,,2,,,,John de Borman,,,,,,,,,"November 28 ( 2006-11-28 ) – December 5, 2006 ( 2006-12-05 )",Barney Pilling,,,,Alex Heffes,,HBO Films,,Finola Dwyer,,,,,,,,,,,,,,,
Generation Kill,War drama,,Generation Kill by Evan Wright,David Simon Ed Burns Evan Wright,Susanna White Simon Cellan Jones,Alexander Skarsgård James Ransone Lee Tergesen Jon Huertas Stark Sands Billy Lush Jonah Lotan Wilson Bethel Pawel Szajda Marc Menchaca Rey Valentin Kellan Lutz Mike Figueroa Josh Barrett Rudy Reyes Rich McDonald Eric Ladin Chance Kelly Eric Nenninger Brian Patrick Wade Neal Jones Michael Kelly David Barrera Benjamin Busch Owain Yeoman J. Salome Martinez Nabil Elouahabi Robert John Burke,,,United States,English,,7,,,Mozambique Namibia Upington Kragbron,Ivan Strasburg,Jason Krasucki Oral Norrie Ottey,,63–69 minutes,Company Pictures Blown Deadline Productions,US$56 million,HBO,,,"July 13 ( 2008-07-13 ) – August 24, 2008 ( 2008-08-24 )",,,,,,,,,Andrea Calderwood,,,,,,,,,,,,,,,
House of Saddam,"Biographical drama , docudrama , historical drama",,,Alex Holmes Stephen Butchard,Alex Holmes Jim O'Hanlon,Yigal Naor Shohreh Aghdashloo Philip Arditti Amr Waked Said Taghmaoui Christine Stephen-Daly,,,United Kingdom United States,English,,4,,Alex Holmes Hilary Salmon Steve Lightfoot,,,,,"60 minutes, each episode.",,,,,,30 July ( 2008-07-30 ) – 20 August 2008 ( 2008-08-20 ),,,,,Samuel Sim,,,,,,,,,,,,,,,,,,,
John Adams,,,John Adams by David McCullough,Kirk Ellis,Tom Hooper,Paul Giamatti Laura Linney Stephen Dillane David Morse Tom Wilkinson Danny Huston Rufus Sewell Justin Theroux Guy Henry,,,United States,English,,7,Tom Hanks Gary Goetzman,David Coatsworth Steve Shareshian,,,,,501 minutes,HBO Films High Noon Productions Playtone Mid Atlantic Films,$100 million [1],HBO,,,"March 16 ( 2008-03-16 ) – April 27, 2008 ( 2008-04-27 )",,,,,Robert Lane Joseph Vitarelli,,,,,,,,,,,,,,,,,,,
The Passion,Religious drama,,,Frank Deasy,Michael Offer,Joseph Mawle Paloma Baeza Ben Daniels James Nesbitt David Oyelowo Penelope Wilton,,Debbie Wiseman,United Kingdom,,,4,,,,,,,172 minutes,BBC Productions HBO Films Deep Indigo Productions,,BBC One,,,16 March ( 2008-03-16 ) – 23 March 2008 ( 2008-03-23 ),Paul Knight,,,,,,,,Nigel Stafford-Clark,,,,,,,Hillary Salmon,,,,,,,,
The Pacific,War drama,,With the Old Breed: At Peleliu and Okinawa by Eugene Sledge Helmet for My Pillow by Robert Leckie,Bruce C. McKenna Robert Schenkkan Graham Yost George Pelecanos Laurence Andries Michelle Ashford,Tim Van Patten David Nutter Jeremy Podeswa Graham Yost Carl Franklin Tony To [1],James Badge Dale Jon Seda Joseph Mazzello Rami Malek,,,United States,English,,10 ( list of episodes ),Steven Spielberg Tom Hanks Gary Goetzman,Tony To (co-executive) Graham Yost (co-executive) Eugene Kelly (co-executive) Bruce C. McKenna (co-executive) Cherylanne Martin Todd London Steven Shareshian Tim Van Patten (supervising) George Pelecanos (co-producer) Robert Schenkkan (co-producer),,,,,50–60 minutes,HBO Entertainment DreamWorks Television Playtone,US$200 million,HBO,,,"March 14 ( 2010-03-14 ) [2] – May 16, 2010 ( 2010-05-16 )",,Hans Zimmer Geoff Zanelli Blake Neely,,,,,,,,,,,,,,,,,,,,,,
Angry Boys,"['Mockumentary', 'sitcom', 'comedy']",Chris Lilley,,Chris Lilley,"['Chris Lilley', 'Stuart McDonald', 'Anthony Rose', 'Jeffrey Walker']",Chris Lilley,,Bryony Marks,"['Australia', 'United States']",English,,12,"['Chris Lilley', 'Debbie Lee', 'Laura Waters']","['Chris Lilley', 'Laura Waters']","['Melbourne , Australia', 'Los Angeles , United States', 'Tokyo , Japan', 'Gawler , [1] Australia']","['Nick Gregoric', 'Simon Lind']",,,28 minutes,"['Princess Pictures', 'ABC', 'HBO']",,ABC1,"['576i ( SDTV )', '720p ( HDTV )']",,11 May ( 2011-05-11 ) – 27 July 2011 ( 2011-07-27 ),Ian Carmichael,,,,Chris Lilley,,,,,,,1,,,,,,,,,,,,
